대여소번호,대여소명,자치구,경도,위도
2305, MCM 본사 직영점 앞,강남구,127.03450775,37.52064133
2306, 압구정역 2번 출구 옆,강남구,127.02871704,37.5271225
2307, 압구정 한양 3차 아파트,강남구,127.03901672,37.52838135
2308, 압구정파출소 앞,강남구,127.03559875,37.52930069
2309, 청담역(우리들병원 앞),강남구,127.04938507,37.51890182
2310, 청담동 맥도날드 옆(위치),강남구,127.04017639,37.52361298
2311, 학동로 래미안 아파트 앞,강남구,127.04302216,37.51777267
2312, 청담역 13번 출구 앞,강남구,127.05632782,37.52058029
2313, 금원빌딩 앞,강남구,127.05246735,37.52511597
2314, 청담나들목입구,강남구,127.06015015,37.52101517
2315, 봉은사역 5번출구 옆,강남구,127.06111908,37.51424789
2316, 삼성역 8번출구,강남구,127.0634079,37.50957489
2317, 삼성도로공원,강남구,127.06620026,37.51588821
2318, 삼성중앙역4번출구(문화센터더 리빌),강남구,127.05503082,37.51357651
2319, 포스코사거리 서측(수협 삼성동 지점),강남구,127.05467987,37.50660706
2320, 도곡역 대치지구대 방향,강남구,127.05696869,37.4919281
2321, 학여울역 사거리,강남구,127.06944275,37.49611664
2322, 삼성역 3번 출구,강남구,127.06310272,37.50809097
2323, 주식회사 오뚜기 정문 앞,강남구,127.06720734,37.50221252
2324, 천주교 대치 2동 교회 옆,강남구,127.06622314,37.50043869
2325, 대치삼성아파트 앞 교차로,강남구,127.05931854,37.4986496
2326, 대치동 삼성로,강남구,127.05879974,37.50239563
2327, 뱅뱅사거리 랜드마크타워 앞,강남구,127.03146362,37.49055099
2328, 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,강남구,127.04273224,37.50321198
2329, 르네상스호텔사거리 역삼지하보도 2번출구,강남구,127.04319,37.50235748
2330, 역삼월드메르디앙아파트 앞,강남구,127.03945923,37.49219894
2331, 동영문화센터앞,강남구,127.04460144,37.49805069
2332, 선릉역3번출구,강남구,127.0490799,37.50400925
2333, 양재역 3번출구 주변,강남구,127.03407288,37.48515701
2334, 삼호아파트 2동 ( 간선도로),강남구,127.04589844,37.49375916
2335, 3호선 매봉역 3번출구앞,강남구,127.04676056,37.48676682
2336, 강남세브란스교차로 래미안그레이튼 104동 앞,강남구,127.04746246,37.49423599
2337, 대모산입구역 2번출구 앞,강남구,127.07197571,37.49207687
2339, 현대아파트 정문 앞,강남구,127.0522995,37.48326111
2340, 삼호물산버스정류장(23370) 옆,강남구,127.04517365,37.47750854
2341, 일원역 4~5번 출구 사이,강남구,127.08493805,37.4833107
2342, 대청역 1번출구 뒤,강남구,127.07951355,37.49400711
2344, 리엔파크 2단지 앞,강남구,127.10119629,37.46506119
2347, 두산건설 본사,강남구,127.03540039,37.518638609999996
2348, 포스코사거리(기업은행),강남구,127.05685425,37.50723267
2349, 역삼빌딩 앞(하나은행 옆),강남구,127.03856659,37.50154495
2350, 래미안그레이튼102동앞,강남구,127.04790497,37.49482346
2351, 청소년수련관(수영장)앞,강남구,127.0890274,37.48387909
2352, 서울본부세관(건설회관 앞),강남구,127.03502655,37.51758957
2353, 강남구청역 2번출구 뒤,강남구,127.04047394,37.51681137
2354, 청담역 2번출구,강남구,127.0567627,37.51978683
2355, 삼성역 5~6번 출구 사이,강남구,127.06230927,37.50912094
2356, 강남구청,강남구,127.04711914,37.51807022
2357, 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),강남구,127.04297638,37.50166321
2358, 구룡초사거리 (현대아파트10동 앞 ),강남구,127.05391693,37.48138428
2359," 국립국악중,고교 정문 맞은편",강남구,127.05037689,37.47560501
2360, 도곡1동 주민센터 교차로,강남구,127.04138947,37.4928093
2362, 신사동 가로수길 입구,강남구,127.02245331,37.51763535
2363, 강남 을지병원 교차로,강남구,127.02751923,37.51913834
2364, 도산공원교차로,강남구,127.0318985,37.52124023
2365, K+ 타워 앞,강남구,127.03847504,37.52330017
2368, 도곡동 경남아파트 건너편,강남구,127.04129791,37.48934174
2369, KT선릉타워,강남구,127.0528717,37.50542831
2370, 한티역 3번출구,강남구,127.0542984,37.49655151
2371, 한국우편사업진흥원,강남구,127.03513336,37.51474762
2372, 대치역 사거리,강남구,127.063797,37.49449921
2373, 개포동역 사거리,강남구,127.06557465,37.48927689
2375, 수서역 1번출구 앞,강남구,127.10099792,37.48735046
2376, 수서역 6번출구 앞,강남구,127.10051727,37.48677826
2377, 수서역 5번출구,강남구,127.10232544,37.48735046
2380, 삼성동베이직하우스앞,강남구,127.04934692,37.51169586
2381, 언주역 6번출구앞,강남구,127.03452301,37.50636673
2382, 역삼동 sk뷰 501동앞,강남구,127.05036163,37.50122833
2383, 보금자리정원,강남구,127.09488678,37.46632767
2384, 자곡사거리,강남구,127.10594177,37.47602844
2385, 학동역,강남구,127.03015137,37.51395035
2386, 크린랩 본사,강남구,127.04090881,37.50958633
2387, 래미안강남힐즈 사거리,강남구,127.09607697,37.47245407
2388, 강남구 도시관리공단,강남구,127.05161285,37.51678467
2389, 경기여자고등학교 후문 (삼성로3길 입구),강남구,127.06723785,37.48616028
2390, 구룡마을 입구 (래미안블레스티지 아파트),강남구,127.06304169,37.48088074
2391, 구룡터널 입구(개포1단지아파트),강남구,127.05962372,37.47598648
2392, 구룡산 입구 (구룡산 서울둘레길 입구),강남구,127.05545044,37.47447205
